timestamps,data
2024-06-12 13:59:34,207871
2024-06-12 13:59:34,207872
2024-06-12 13:59:34,207873
2024-06-12 13:59:34,207874
2024-06-12 13:59:34,207875
2024-06-12 13:59:34,207876
2024-06-12 13:59:34,207877
2024-06-12 13:59:35,207878
2024-06-12 13:59:35,207879
2024-06-12 13:59:35,207880
2024-06-12 13:59:35,207881
2024-06-12 13:59:35,207882
2024-06-12 13:59:35,207883
2024-06-12 13:59:35,207884
2024-06-12 13:59:36,207885
2024-06-12 13:59:36,207886
2024-06-12 13:59:36,207887
2024-06-12 13:59:36,207888
2024-06-12 13:59:36,207889
2024-06-12 13:59:36,207890
2024-06-12 13:59:36,207891
2024-06-12 13:59:36,207892
2024-06-12 13:59:37,207893
2024-06-12 13:59:37,207894
2024-06-12 13:59:37,207895
2024-06-12 13:59:37,207896
2024-06-12 13:59:37,207897
2024-06-12 13:59:37,207898
2024-06-12 13:59:37,207899
2024-06-12 13:59:38,207900
2024-06-12 13:59:38,207901
2024-06-12 13:59:38,207902
2024-06-12 13:59:38,207903
2024-06-12 13:59:38,207904
2024-06-12 13:59:38,207905
2024-06-12 13:59:38,207906
2024-06-12 13:59:38,207907
2024-06-12 13:59:38,207908
2024-06-12 13:59:38,207909
2024-06-12 13:59:39,207910
2024-06-12 13:59:39,207911
2024-06-12 13:59:39,207912
2024-06-12 13:59:39,207913
2024-06-12 13:59:39,207914
2024-06-12 13:59:39,207915
2024-06-12 13:59:39,207916
2024-06-12 13:59:39,207917
2024-06-12 13:59:39,207918
2024-06-12 13:59:40,207919
2024-06-12 13:59:40,207920
2024-06-12 13:59:40,207921
2024-06-12 13:59:40,207922
2024-06-12 13:59:40,207923
2024-06-12 13:59:40,207924
2024-06-12 13:59:40,207925
2024-06-12 13:59:40,207926
2024-06-12 13:59:40,207927
2024-06-12 13:59:40,207928
2024-06-12 13:59:41,207929
2024-06-12 13:59:41,207930
2024-06-12 13:59:41,207931
2024-06-12 13:59:41,207932
2024-06-12 13:59:41,207933
2024-06-12 13:59:41,207934
2024-06-12 13:59:41,207935
2024-06-12 13:59:41,207936
2024-06-12 13:59:41,207937
2024-06-12 13:59:41,207938
2024-06-12 13:59:42,207939
2024-06-12 13:59:42,207940
2024-06-12 13:59:42,207941
2024-06-12 13:59:42,207942
2024-06-12 13:59:42,207943
2024-06-12 13:59:42,207944
2024-06-12 13:59:42,207945
2024-06-12 13:59:42,207946
2024-06-12 13:59:42,207947
2024-06-12 13:59:42,207948
2024-06-12 13:59:43,207949
2024-06-12 13:59:43,207950
2024-06-12 13:59:43,207951
2024-06-12 13:59:43,207952
2024-06-12 13:59:43,207953
2024-06-12 13:59:43,207954
2024-06-12 13:59:43,207955
2024-06-12 13:59:43,207956
2024-06-12 13:59:43,207957
2024-06-12 13:59:44,207958
2024-06-12 13:59:44,207959
